source,text_data,sentiment
Wired,"US House Republicans Had Their Phones Confiscated to Stop Leaks Oh, wow. Really? John Larson, a Connecticut Democrat, says after WIRED informs him of his rowdy Republican neighbors new no-phone rule. It goes to show you the level of trust in this place, huh?
Its… [+2134 In an attempt to wrest control from raucous far-right hardliners amid the fight for a new House speaker, Republican Party leaders are instituting phone bans to keep backroom deals secret.",0
Wired,"Huawei Freebuds Pro 3 Review: Sophisticated Sound, Lackluster Noise Cancelling Tricky is to understate Huaweis position in much of the world outside its native China more than somewhat. Few are the electronics companies that are the subject of sanction by nation states, and few… [+2615 These new pro earbuds have a surprisingly convincing soundstage—but at this price why would you buy them over Apple, Bose, Sony or the rest?",0
Wired,"A Powerful Tool US Spies Misused to Stalk Women Faces Its Potential Demise A federal law authorizing a vast amount of the United States militarys foreign intelligence collection is set to expire in two months, pulling the plug on historys most prolific eavesdropping operati… [+3126 Though often viewed as the “crown jewel” of the US intelligence community, fresh reports of abuse by NSA employees and chaos in the US Congress put the tool's future in jeopardy.",0
BBC News,"Meet the longshot candidates who could swing the 2024 election Sixteen people are running to become president of the United States in 2024 - but not all are Democrats or Republicans.
Three candidates are running on their own or with a third party, and a fourth … [+6870 Independent and third-party candidates could potentially siphon voters from the Democrats and Republicans.",0
BBC News,"Who are the Republican candidates to be US House Speaker? Nearly three weeks after Kevin McCarthy's ouster, the Republican party's fraught search for a Speaker of the House of Representatives continues. 
Last week, embattled House Republicans moved to remo… [+6518 Republicans are again searching for a new nominee after Jim Jordan's Speaker bid fell apart last week.",0
BBC News,"Congressman Dean Phillips launches 'moon shot' primary challenge to Biden Minnesota Congressman Dean Phillips has filed a long-shot presidential bid on Friday after calling on Joe Biden to step aside. 
While Mr Phillips is extremely unlikely to win, some see his announcem… [+3088 Minnesota Rep Dean Phillips' bid comes amid flagging poll numbers for Joe Biden among Democrats.",0
BBC News,"'Provocative' Vivek Ramaswamy border comments anger Canadians Since Donald Trump's presidency, the construction of an impenetrable wall at the US-Mexico border has become a common refrain among conservative politicians. 
But one Republican presidential hopeful… [+5538 The Republican argued the US should build a wall on the Canadian border to halt the flow of fentanyl.",0
BBC News,"Criminals and sanctions-busters exploiting UK secrecy loophole An offshore firm helped create companies used by members of Vladimir Putin's inner circle, including one hiding the late mercenary boss Yevgeny Prigozhin's yacht, the BBC can reveal.
Seychelles-base… [+12693 Seychelles company linked to Putin’s inner circle exploited UK loophole for hundreds of firms, BBC finds.",0
BBC News,"Who's behind Israel-Gaza disinformation and hate online? Social media has been awash with false claims, conspiracy theories and hateful content surrounding what's happening in Israel and Gaza - and questions over whether inauthentic accounts are being used… [+6650 How false claims, conspiracy theories and hateful content shapes the general public's view of the war.",0
BBC News,"Donald Trump gets gag order in election meddling case A federal judge has barred Donald Trump from criticising prosecutors, the court and possible witnesses ahead of his trial on election subversion charges.
""Because he is running for president, he get… [+815 The limited gag order prevents the former president from criticising prosecutors and witnesses.",0
BBC News,"Tom Emmer: Republicans pick third nominee for House Speaker Republicans have picked Tom Emmer as their third nominee to be House of Representatives Speaker, three weeks after their last leader was ousted in a right-wing revolt.
The full chamber will now vote… [+815 But the Minnesota congressman may face difficulty winning votes from allies of ex-President Donald Trump.",0
