source,text_data,sentiment
Engadget,"The Morning After: US government announces AI Safety Institute Following President Joe Bidens sweeping executive order regarding AI development last week, at the UK AI Safety Summit yesterday, Vice President Kamala Harris announced even more machine learning ini… [+3261 Following President Joe Biden’s sweeping executive order regarding AI development last week, at the UK AI Safety Summit yesterday, Vice President Kamala Harris announced even more machine learning initiatives, as well as the establishment of the United States…",0
Engadget,"Kamala Harris announces AI Safety Institute to protect American consumers Just days after President Joe Biden unveiled a sweeping executive order retasking the federal government with regards to AI development, Vice President Kamala Harris announced at the UK AI Safety Sum… [+4661 Just days after President Joe Biden unveiled a sweeping executive order retasking the federal government with regards to AI development, Vice President Kamala Harris announced at the UK AI Safety Summit on Tuesday a half dozen more machine learning initiative…",0
Engadget,"Meta will mark political and social ads altered by AI starting next year Meta will require advertisers to disclose whether the ads they submit for its websites have been digitally altered, including through the use of AI tools, if they're political or social in nature. Ad… [+2196 Meta will require advertisers to disclose whether the ads they submit for its websites have been digitally altered, including through the use of AI tools, if they're political or social in nature. Ads that have been digitally altered will be marked as such on…",0
Wired,Joe Biden’s Sweeping New Executive Order Aims to Drag the US Government into the Age of ChatGPT Joe Biden wants the US government to make wider use of artificial intelligenceand to keep commercial AI on a tighter leash. Those are two prominent themes of a sprawling executive order Biden will si… [+2562 President Joe Biden issued a wide-ranging executive order on artificial intelligence with measures to boost US tech talent and prevent AI being used to threaten national security.,0
Wired,"Joe Biden’s Big AI Plan Sounds Scary—but Lacks Bite We intend that the actions we are taking domestically will serve as a model for international action, understanding that AI developed in one nation can impact the lives and livelihoods of billions of… [+2442 Joe Biden’s new executive order is billed as the biggest governmental AI plan ever. Unless he can convince a dysfunctional US Congress and overseas rivals to play along, its effects will be limited.",0
Wired,"US House Republicans Had Their Phones Confiscated to Stop Leaks Oh, wow. Really? John Larson, a Connecticut Democrat, says after WIRED informs him of his rowdy Republican neighbors new no-phone rule. It goes to show you the level of trust in this place, huh?
Its… [+2134 In an attempt to wrest control from raucous far-right hardliners amid the fight for a new House speaker, Republican Party leaders are instituting phone bans to keep backroom deals secret.",0
The Verge,"Barack Obama on AI, free speech, and the future of the internet The former president joined me on Decoder to discuss AI regulation, the First Amendment, and of course, what apps he has on his homescreen. Today on Decoder, I’m talking to former President Barack Ob… [+38113 Barack Obama joined Nilay Patel on Decoder to discuss President Joe Biden’s executive order on AI, tech regulation, and more.",0
BBC News,"Congressman Dean Phillips launches 'moon shot' primary challenge to Biden Minnesota Congressman Dean Phillips has filed a long-shot presidential bid on Friday after calling on Joe Biden to step aside. 
While Mr Phillips is extremely unlikely to win, some see his announcem… [+3088 Minnesota Rep Dean Phillips' bid comes amid flagging poll numbers for Joe Biden among Democrats.",0
BBC News,"Meet the longshot candidates who could swing the 2024 election Sixteen people are running to become president of the United States in 2024 - but not all are Democrats or Republicans.
Three candidates are running on their own or with a third party, and a fourth … [+6870 Independent and third-party candidates could potentially siphon voters from the Democrats and Republicans.",0
BBC News,"Rashida Tlaib censured over Israel-Gaza comments The US Congress has voted to censure its only Palestinian-American member over comments she made on the Israel-Gaza war.
Michigan Democrat Rahida Tlaib was rebuked for her defence of the chant ""from… [+2095 Michigan Democrat defends pro-Palestinian ""river to sea"" chant as an ""aspirational call for freedom"".",0
